,Date,Open,High,Low,Close,Adj Close,Volume
684,2000-05-22,14330.0,14369.0,13583.0,13891.0,13891.0,0.0
553,1999-11-19,13090.0,13509.0,13090.0,13463.0,13463.0,0.0
4055,2013-09-16,53799.0,54463.0,53559.0,53822.0,53822.0,4775000.0
820,2000-11-28,14011.0,14011.0,13756.0,13914.0,13914.0,0.0
2574,2007-09-19,56675.0,58079.0,56675.0,57264.0,57264.0,7791400.0
141,1998-04-22,11936.0,11936.0,11661.0,11703.0,11703.0,0.0
3197,2010-03-31,69960.0,70392.0,69573.0,70372.0,70372.0,1676800.0
2136,2005-12-28,33371.0,33463.0,32965.0,33138.0,33138.0,0.0
10,1997-10-21,12704.0,13037.0,12704.0,13016.0,13016.0,0.0
4179,2014-03-19,46152.0,46803.0,45909.0,46567.0,46567.0,3337700.0
3085,2009-10-14,64653.0,66393.0,64653.0,66201.0,66201.0,2096400.0
554,1999-11-22,13466.0,13660.0,13312.0,13436.0,13436.0,0.0
1966,2005-04-27,25295.0,25295.0,24886.0,25242.0,25242.0,0.0
3213,2010-04-26,69509.0,69810.0,68813.0,68872.0,68872.0,1179400.0
1215,2002-06-04,12637.0,12642.0,12493.0,12600.0,12600.0,0.0
1414,2003-03-10,10695.0,10695.0,10294.0,10309.0,10309.0,0.0
4595,2015-11-23,48138.0,48745.0,47988.0,48150.0,48150.0,3277600.0
6133,2022-01-31,111910.0,112495.0,111195.0,112388.0,112388.0,12190800.0
3971,2013-05-17,54780.0,55489.0,54780.0,55164.0,55164.0,4067400.0
